movie_id,cast,crew
10764,"[{'name': 'Daniel Craig', 'order': 0}, {'name': 'Olga Kurylenko', 'order': 1}, {'name': 'Mathieu Amalric', 'order': 2}, {'name': 'Judi Dench', 'order': 3}, {'name': 'Giancarlo Giannini', 'order': 4}]","[{'name': 'Marc Forster', 'job': 'Director'}]"
58,"[{'name': 'Johnny Depp', 'order': 0}, {'name': 'Orlando Bloom', 'order': 1}, {'name': 'Keira Knightley', 'order': 2}, {'name': 'Stellan Skarsgård', 'order': 3}, {'name': 'Bill Nighy', 'order': 4}]","[{'name': 'Gore Verbinski', 'job': 'Director'}]"
57201,"[{'name': 'Johnny Depp', 'order': 0}, {'name': 'Armie Hammer', 'order': 1}, {'name': 'William Fichtner', 'order': 2}, {'name': 'Helena Bonham Carter', 'order': 3}, {'name': 'James Badge Dale', 'order': 4}]","[{'name': 'Gore Verbinski', 'job': 'Director'}]"
49521,"[{'name': 'Henry Cavill', 'order': 0}, {'name': 'Amy Adams', 'order': 1}, {'name': 'Michael Shannon', 'order': 2}, {'name': 'Kevin Costner', 'order': 3}, {'name': 'Diane Lane', 'order': 4}]","[{'name': 'Zack Snyder', 'job': 'Director'}]"
2454,"[{'name': 'Ben Barnes', 'order': 0}, {'name': 'William Moseley', 'order': 1}, {'name': 'Anna Popplewell', 'order': 2}, {'name': 'Skandar Keynes', 'order': 3}, {'name': 'Georgie Henley', 'order': 4}]","[{'name': 'Andrew Adamson', 'job': 'Director'}]"
24428,"[{'name': 'Robert Downey Jr.', 'order': 0}, {'name': 'Chris Evans', 'order': 1}, {'name': 'Mark Ruffalo', 'order': 2}, {'name': 'Chris Hemsworth', 'order': 3}, {'name': 'Scarlett Johansson', 'order': 4}]","[{'name': 'Joss Whedon', 'job': 'Director'}]"
1865,"[{'name': 'Johnny Depp', 'order': 0}, {'name': 'Penélope Cruz', 'order': 1}, {'name': 'Ian McShane', 'order': 2}, {'name': 'Kevin McNally', 'order': 3}, {'name': 'Geoffrey Rush', 'order': 4}]","[{'name': 'Rob Marshall', 'job': 'Director'}]"
41154,"[{'name': 'Will Smith', 'order': 0}, {'name': 'Tommy Lee Jones', 'order': 1}, {'name': 'Josh Brolin', 'order': 2}, {'name': 'Michael Stuhlbarg', 'order': 3}, {'name': 'Emma Thompson', 'order': 4}]","[{'name': 'Barry Sonnenfeld', 'job': 'Director'}]"
122917,"[{'name': 'Martin Freeman', 'order': 0}, {'name': 'Ian McKellen', 'order': 1}, {'name': 'Richard Armitage', 'order': 2}, {'name': 'Ken Stott', 'order': 3}, {'name': 'Graham McTavish', 'order': 4}]","[{'name': 'Peter Jackson', 'job': 'Director'}]"
1930,"[{'name': 'Andrew Garfield', 'order': 0}, {'name': 'Emma Stone', 'order': 1}, {'name': 'Rhys Ifans', 'order': 2}, {'name': 'Denis Leary', 'order': 3}, {'name': 'Campbell Scott', 'order': 4}]","[{'name': 'Marc Webb', 'job': 'Director'}]"
20662,"[{'name': 'Russell Crowe', 'order': 0}, {'name': 'Cate Blanchett', 'order': 1}, {'name': 'Max von Sydow', 'order': 2}, {'name': 'William Hurt', 'order': 3}, {'name': 'Mark Strong', 'order': 4}]","[{'name': 'Ridley Scott', 'job': 'Director'}]"
57158,"[{'name': 'Martin Freeman', 'order': 0}, {'name': 'Ian McKellen', 'order': 1}, {'name': 'Richard Armitage', 'order': 2}, {'name': 'Ken Stott', 'order': 3}, {'name': 'Graham McTavish', 'order': 4}]","[{'name': 'Peter Jackson', 'job': 'Director'}]"
2268,"[{'name': 'Dakota Blue Richards', 'order': 0}, {'name': 'Nicole Kidman', 'order': 1}, {'name': 'Daniel Craig', 'order': 2}, {'name': 'Sam Elliott', 'order': 3}, {'name': 'Eva Green', 'order': 4}]","[{'name': 'Chris Weitz', 'job': 'Director'}]"
254,"[{'name': 'Naomi Watts', 'order': 0}, {'name': 'Jack Black', 'order': 1}, {'name': 'Adrien Brody', 'order': 2}, {'name': 'Thomas Kretschmann', 'order': 3}, {'name': 'Colin Hanks', 'order': 4}]","[{'name': 'Peter Jackson', 'job': 'Director'}]"
597,"[{'name': 'Kate Winslet', 'order': 0}, {'name': 'Leonardo DiCaprio', 'order': 1}, {'name': 'Frances Fisher', 'order': 2}, {'name': 'Billy Zane', 'order': 3}, {'name': 'Kathy Bates', 'order': 4}]","[{'name': 'James Cameron', 'job': 'Director'}]"
271110,"[{'name': 'Chris Evans', 'order': 0}, {'name': 'Robert Downey Jr.', 'order': 1}, {'name': 'Scarlett Johansson', 'order': 2}, {'name': 'Sebastian Stan', 'order': 3}, {'name': 'Anthony Mackie', 'order': 4}]","[{'name': 'Anthony Russo', 'job': 'Director'}, {'name': 'Joe Russo', 'job': 'Director'}]"
44833,"[{'name': 'Taylor Kitsch', 'order': 0}, {'name': 'Alexander Skarsgård', 'order': 1}, {'name': 'Rihanna', 'order': 2}, {'name': 'Brooklyn Decker', 'order': 3}, {'name': 'Tadanobu Asano', 'order': 4}]","[{'name': 'Peter Berg', 'job': 'Director'}]"
135397,"[{'name': 'Chris Pratt', 'order': 0}, {'name': 'Bryce Dallas Howard', 'order': 1}, {'name': 'Irrfan Khan', 'order': 2}, {'name': ""Vincent D'Onofrio"", 'order': 3}, {'name': 'Nick Robinson', 'order': 4}]","[{'name': 'Colin Trevorrow', 'job': 'Director'}]"
37724,"[{'name': 'Daniel Craig', 'order': 0}, {'name': 'Judi Dench', 'order': 1}, {'name': 'Javier Bardem', 'order': 2}, {'name': 'Ralph Fiennes', 'order': 3}, {'name': 'Naomie Harris', 'order': 4}]","[{'name': 'Sam Mendes', 'job': 'Director'}]"
558,"[{'name': 'Tobey Maguire', 'order': 0}, {'name': 'Kirsten Dunst', 'order': 1}, {'name': 'James Franco', 'order': 2}, {'name': 'Alfred Molina', 'order': 3}, {'name': 'Rosemary Harris', 'order': 4}]","[{'name': 'Sam Raimi', 'job': 'Director'}]"
68721,"[{'name': 'Robert Downey Jr.', 'order': 0}, {'name': 'Gwyneth Paltrow', 'order': 1}, {'name': 'Don Cheadle', 'order': 2}, {'name': 'Guy Pearce', 'order': 3}, {'name': 'Rebecca Hall', 'order': 4}]","[{'name': 'Shane Black', 'job': 'Director'}]"
12155,"[{'name': 'Mia Wasikowska', 'order': 0}, {'name': 'Johnny Depp', 'order': 1}, {'name': 'Anne Hathaway', 'order': 2}, {'name': 'Helena Bonham Carter', 'order': 3}, {'name': 'Crispin Glover', 'order': 4}]","[{'name': 'Tim Burton', 'job': 'Director'}]"
36668,"[{'name': 'Hugh Jackman', 'order': 0}, {'name': 'Halle Berry', 'order': 1}, {'name': 'Ian McKellen', 'order': 2}, {'name': 'Patrick Stewart', 'order': 3}, {'name': 'Famke Janssen', 'order': 4}]","[{'name': 'Brett Ratner', 'job': 'Director'}]"
62211,"[{'name': 'Billy Crystal', 'order': 0}, {'name': 'John Goodman', 'order': 1}, {'name': 'Steve Buscemi', 'order': 2}, {'name': 'Helen Mirren', 'order': 3}, {'name': 'Noah Johnston', 'order': 4}]","[{'name': 'Dan Scanlon', 'job': 'Director'}]"
8373,"[{'name': 'Shia LaBeouf', 'order': 0}, {'name': 'Megan Fox', 'order': 1}, {'name': 'Josh Duhamel', 'order': 2}, {'name': 'Rainn Wilson', 'order': 3}, {'name': 'Tyrese Gibson', 'order': 4}]","[{'name': 'Michael Bay', 'job': 'Director'}]"
91314,"[{'name': 'Mark Wahlberg', 'order': 0}, {'name': 'Stanley Tucci', 'order': 1}, {'name': 'Kelsey Grammer', 'order': 2}, {'name': 'Nicola Peltz', 'order': 3}, {'name': 'Jack Reynor', 'order': 4}]","[{'name': 'Michael Bay', 'job': 'Director'}]"
68728,"[{'name': 'James Franco', 'order': 0}, {'name': 'Mila Kunis', 'order': 1}, {'name': 'Rachel Weisz', 'order': 2}, {'name': 'Michelle Williams', 'order': 3}, {'name': 'Zach Braff', 'order': 4}]","[{'name': 'Sam Raimi', 'job': 'Director'}]"
102382,"[{'name': 'Andrew Garfield', 'order': 0}, {'name': 'Emma Stone', 'order': 1}, {'name': 'Jamie Foxx', 'order': 2}, {'name': 'Dane DeHaan', 'order': 3}, {'name': 'Campbell Scott', 'order': 4}]","[{'name': 'Marc Webb', 'job': 'Director'}]"
20526,"[{'name': 'Garrett Hedlund', 'order': 0}, {'name': 'Jeff Bridges', 'order': 1}, {'name': 'Olivia Wilde', 'order': 2}, {'name': 'Bruce Boxleitner', 'order': 3}, {'name': 'Yaya DaCosta', 'order': 4}]","[{'name': 'Joseph Kosinski', 'job': 'Director'}]"
49013,"[{'name': 'Owen Wilson', 'order': 0}, {'name': 'Larry the Cable Guy', 'order': 1}, {'name': 'Michael Caine', 'order': 2}, {'name': 'Emily Mortimer', 'order': 3}, {'name': 'John Turturro', 'order': 4}]","[{'name': 'John Lasseter', 'job': 'Director'}, {'name': 'Brad Lewis', 'job': 'Director'}]"
44912,"[{'name': 'Ryan Reynolds', 'order': 0}, {'name': 'Blake Lively', 'order': 1}, {'name': 'Peter Sarsgaard', 'order': 2}, {'name': 'Tim Robbins', 'order': 3}, {'name': 'Mark Strong', 'order': 4}]","[{'name': 'Martin Campbell', 'job': 'Director'}]"
10193,"[{'name': 'Tom Hanks', 'order': 0}, {'name': 'Tim Allen', 'order': 1}, {'name': 'Ned Beatty', 'order': 2}, {'name': 'Joan Cusack', 'order': 3}, {'name': 'Michael Keaton', 'order': 4}]","[{'name': 'Lee Unkrich', 'job': 'Director'}]"
534,"[{'name': 'Christian Bale', 'order': 0}, {'name': 'Sam Worthington', 'order': 1}, {'name': 'Anton Yelchin', 'order': 2}, {'name': 'Moon Bloodgood', 'order': 3}, {'name': 'Bryce Dallas Howard', 'order': 4}]","[{'name': 'McG', 'job': 'Director'}]"
168259,"[{'name': 'Vin Diesel', 'order': 0}, {'name': 'Paul Walker', 'order': 1}, {'name': 'Dwayne Johnson', 'order': 2}, {'name': 'Michelle Rodriguez', 'order': 3}, {'name': 'Tyrese Gibson', 'order': 4}]","[{'name': 'James Wan', 'job': 'Director'}]"
72190,"[{'name': 'Brad Pitt', 'order': 0}, {'name': 'Mireille Enos', 'order': 1}, {'name': 'Abigail Hargrove', 'order': 2}, {'name': 'Sterling Jerins', 'order': 3}, {'name': 'James Badge Dale', 'order': 4}]","[{'name': 'Marc Forster', 'job': 'Director'}]"
127585,"[{'name': 'Hugh Jackman', 'order': 0}, {'name': 'James McAvoy', 'order': 1}, {'name': 'Michael Fassbender', 'order': 2}, {'name': 'Jennifer Lawrence', 'order': 3}, {'name': 'Halle Berry', 'order': 4}]","[{'name': 'Bryan Singer', 'job': 'Director'}]"
54138,"[{'name': 'Chris Pine', 'order': 0}, {'name': 'Zachary Quinto', 'order': 1}, {'name': 'Zoe Saldana', 'order': 2}, {'name': 'Karl Urban', 'order': 3}, {'name': 'Simon Pegg', 'order': 4}]","[{'name': 'J.J. Abrams', 'job': 'Director'}]"
81005,"[{'name': 'Nicholas Hoult', 'order': 0}, {'name': 'Eleanor Tomlinson', 'order': 1}, {'name': 'Ewan McGregor', 'order': 2}, {'name': 'Stanley Tucci', 'order': 3}, {'name': 'Ian McShane', 'order': 4}]","[{'name': 'Bryan Singer', 'job': 'Director'}]"
64682,"[{'name': 'Leonardo DiCaprio', 'order': 0}, {'name': 'Tobey Maguire', 'order': 1}, {'name': 'Carey Mulligan', 'order': 2}, {'name': 'Joel Edgerton', 'order': 3}, {'name': 'Elizabeth Debicki', 'order': 4}]","[{'name': 'Baz Luhrmann', 'job': 'Director'}]"
9543,"[{'name': 'Jake Gyllenhaal', 'order': 0}, {'name': 'Gemma Arterton', 'order': 1}, {'name': 'Ben Kingsley', 'order': 1}, {'name': 'Alfred Molina', 'order': 2}, {'name': 'Steve Toussaint', 'order': 3}]","[{'name': 'Mike Newell', 'job': 'Director'}]"
68726,"[{'name': 'Idris Elba', 'order': 0}, {'name': 'Charlie Hunnam', 'order': 1}, {'name': 'Charlie Day', 'order': 2}, {'name': 'Ron Perlman', 'order': 3}, {'name': 'Burn Gorman', 'order': 4}]","[{'name': 'Guillermo del Toro', 'job': 'Director'}]"
38356,"[{'name': 'Shia LaBeouf', 'order': 0}, {'name': 'John Malkovich', 'order': 1}, {'name': 'Ken Jeong', 'order': 2}, {'name': 'Frances McDormand', 'order': 3}, {'name': 'Josh Duhamel', 'order': 4}]","[{'name': 'Michael Bay', 'job': 'Director'}]"
217,"[{'name': 'Harrison Ford', 'order': 0}, {'name': 'Cate Blanchett', 'order': 1}, {'name': 'Shia LaBeouf', 'order': 2}, {'name': 'Ray Winstone', 'order': 3}, {'name': 'Karen Allen', 'order': 4}]","[{'name': 'Steven Spielberg', 'job': 'Director'}]"
105864,"[{'name': 'Raymond Ochoa', 'order': 0}, {'name': 'Jack Bright', 'order': 1}, {'name': 'Jeffrey Wright', 'order': 2}, {'name': 'Frances McDormand', 'order': 3}, {'name': 'Maleah Nipay-Padilla', 'order': 4}]","[{'name': 'Peter Sohn', 'job': 'Director'}]"
62177,"[{'name': 'Kelly Macdonald', 'order': 0}, {'name': 'Julie Walters', 'order': 1}, {'name': 'Billy Connolly', 'order': 2}, {'name': 'Emma Thompson', 'order': 3}, {'name': 'Kevin McKidd', 'order': 4}]","[{'name': 'Brenda Chapman', 'job': 'Director'}, {'name': 'Mark Andrews', 'job': 'Director'}, {'name': 'Steve Purcell', 'job': 'Director'}]"
188927,"[{'name': 'Chris Pine', 'order': 0}, {'name': 'Zachary Quinto', 'order': 1}, {'name': 'Karl Urban', 'order': 2}, {'name': 'Simon Pegg', 'order': 3}, {'name': 'Zoe Saldana', 'order': 4}]","[{'name': 'Justin Lin', 'job': 'Director'}]"
10681,"[{'name': 'Ben Burtt', 'order': 0}, {'name': 'Elissa Knight', 'order': 1}, {'name': 'Jeff Garlin', 'order': 2}, {'name': 'Fred Willard', 'order': 3}, {'name': 'John Ratzenberger', 'order': 4}]","[{'name': 'Andrew Stanton', 'job': 'Director'}]"
5174,"[{'name': 'Chris Tucker', 'order': 0}, {'name': 'Jackie Chan', 'order': 1}, {'name': 'Hiroyuki Sanada', 'order': 2}, {'name': 'Max von Sydow', 'order': 3}, {'name': 'Yvan Attal', 'order': 4}]","[{'name': 'Brett Ratner', 'job': 'Director'}]"
14161,"[{'name': 'John Cusack', 'order': 0}, {'name': 'Amanda Peet', 'order': 1}, {'name': 'Chiwetel Ejiofor', 'order': 2}, {'name': 'Thandie Newton', 'order': 3}, {'name': 'Oliver Platt', 'order': 4}]","[{'name': 'Roland Emmerich', 'job': 'Director'}]"
17979,"[{'name': 'Gary Oldman', 'order': 0}, {'name': 'Jim Carrey', 'order': 1}, {'name': 'Steve Valentine', 'order': 2}, {'name': 'Daryl Sabara', 'order': 3}, {'name': 'Sage Ryan', 'order': 4}]","[{'name': 'Robert Zemeckis', 'job': 'Director'}]"
76757,"[{'name': 'Mila Kunis', 'order': 0}, {'name': 'Channing Tatum', 'order': 1}, {'name': 'Sean Bean', 'order': 2}, {'name': 'Eddie Redmayne', 'order': 3}, {'name': 'Douglas Booth', 'order': 4}]","[{'name': 'Lilly Wachowski', 'job': 'Director'}, {'name': 'Lana Wachowski', 'job': 'Director'}]"
258489,"[{'name': 'Alexander Skarsgård', 'order': 0}, {'name': 'Margot Robbie', 'order': 1}, {'name': 'Christoph Waltz', 'order': 2}, {'name': 'Samuel L. Jackson', 'order': 3}, {'name': 'Djimon Hounsou', 'order': 4}]","[{'name': 'David Yates', 'job': 'Director'}]"
411,"[{'name': 'William Moseley', 'order': 0}, {'name': 'Anna Popplewell', 'order': 1}, {'name': 'Skandar Keynes', 'order': 2}, {'name': 'Georgie Henley', 'order': 3}, {'name': 'Liam Neeson', 'order': 4}]","[{'name': 'Andrew Adamson', 'job': 'Director'}]"
246655,"[{'name': 'James McAvoy', 'order': 0}, {'name': 'Michael Fassbender', 'order': 1}, {'name': 'Jennifer Lawrence', 'order': 2}, {'name': 'Nicholas Hoult', 'order': 3}, {'name': 'Oscar Isaac', 'order': 4}]","[{'name': 'Bryan Singer', 'job': 'Director'}]"
155,"[{'name': 'Christian Bale', 'order': 0}, {'name': 'Heath Ledger', 'order': 1}, {'name': 'Aaron Eckhart', 'order': 2}, {'name': 'Michael Caine', 'order': 3}, {'name': 'Maggie Gyllenhaal', 'order': 4}]","[{'name': 'Christopher Nolan', 'job': 'Director'}]"
14160,"[{'name': 'Ed Asner', 'order': 0}, {'name': 'Christopher Plummer', 'order': 1}, {'name': 'Jordan Nagai', 'order': 2}, {'name': 'Bob Peterson', 'order': 3}, {'name': 'Delroy Lindo', 'order': 4}]","[{'name': 'Pete Docter', 'job': 'Director'}]"
15512,"[{'name': 'Seth Rogen', 'order': 0}, {'name': 'Reese Witherspoon', 'order': 1}, {'name': 'Hugh Laurie', 'order': 2}, {'name': 'Paul Rudd', 'order': 3}, {'name': 'Kiefer Sutherland', 'order': 4}]","[{'name': 'Conrad Vernon', 'job': 'Director'}, {'name': 'Rob Letterman', 'job': 'Director'}]"
1726,"[{'name': 'Robert Downey Jr.', 'order': 0}, {'name': 'Terrence Howard', 'order': 1}, {'name': 'Jeff Bridges', 'order': 2}, {'name': 'Shaun Toub', 'order': 3}, {'name': 'Gwyneth Paltrow', 'order': 4}]","[{'name': 'Jon Favreau', 'job': 'Director'}]"
44826,"[{'name': 'Ben Kingsley', 'order': 0}, {'name': 'Sacha Baron Cohen', 'order': 1}, {'name': 'Asa Butterfield', 'order': 2}, {'name': 'Chloë Grace Moretz', 'order': 3}, {'name': 'Ray Winstone', 'order': 4}]","[{'name': 'Martin Scorsese', 'job': 'Director'}]"
8487,"[{'name': 'Will Smith', 'order': 0}, {'name': 'Kevin Kline', 'order': 1}, {'name': 'Kenneth Branagh', 'order': 2}, {'name': 'Salma Hayek', 'order': 3}, {'name': 'M. Emmet Walsh', 'order': 4}]","[{'name': 'Barry Sonnenfeld', 'job': 'Director'}]"
1735,"[{'name': 'Brendan Fraser', 'order': 0}, {'name': 'Jet Li', 'order': 1}, {'name': 'John Hannah', 'order': 2}, {'name': 'Maria Bello', 'order': 3}, {'name': 'Luke Ford', 'order': 4}]","[{'name': 'Rob Cohen', 'job': 'Director'}]"
297761,"[{'name': 'Will Smith', 'order': 0}, {'name': 'Margot Robbie', 'order': 1}, {'name': 'Joel Kinnaman', 'order': 2}, {'name': 'Viola Davis', 'order': 3}, {'name': 'Jared Leto', 'order': 4}]","[{'name': 'David Ayer', 'job': 'Director'}]"
2698,"[{'name': 'Steve Carell', 'order': 0}, {'name': 'Lauren Graham', 'order': 1}, {'name': 'John Goodman', 'order': 2}, {'name': 'Jimmy Bennett', 'order': 3}, {'name': 'John Michael Higgins', 'order': 4}]","[{'name': 'Tom Shadyac', 'job': 'Director'}]"
137113,"[{'name': 'Tom Cruise', 'order': 0}, {'name': 'Emily Blunt', 'order': 1}, {'name': 'Brendan Gleeson', 'order': 2}, {'name': 'Bill Paxton', 'order': 3}, {'name': 'Jonas Armstrong', 'order': 4}]","[{'name': 'Doug Liman', 'job': 'Director'}]"
9804,"[{'name': 'Kevin Costner', 'order': 0}, {'name': 'Chaim Girafi', 'order': 1}, {'name': 'Rick Aviles', 'order': 2}, {'name': 'R. D. Call', 'order': 3}, {'name': 'Zitto Kazann', 'order': 4}]","[{'name': 'Kevin Reynolds', 'job': 'Director'}]"
14869,"[{'name': 'Dennis Quaid', 'order': 0}, {'name': 'Channing Tatum', 'order': 1}, {'name': 'Marlon Wayans', 'order': 2}, {'name': 'Sienna Miller', 'order': 3}, {'name': 'Joseph Gordon-Levitt', 'order': 4}]","[{'name': 'Stephen Sommers', 'job': 'Director'}]"
150540,"[{'name': 'Amy Poehler', 'order': 0}, {'name': 'Phyllis Smith', 'order': 1}, {'name': 'Richard Kind', 'order': 2}, {'name': 'Bill Hader', 'order': 3}, {'name': 'Lewis Black', 'order': 4}]","[{'name': 'Pete Docter', 'job': 'Director'}]"
278927,"[{'name': 'Neel Sethi', 'order': 0}, {'name': 'Bill Murray', 'order': 1}, {'name': 'Ben Kingsley', 'order': 2}, {'name': 'Idris Elba', 'order': 3}, {'name': 'Scarlett Johansson', 'order': 4}]","[{'name': 'Jon Favreau', 'job': 'Director'}]"
10138,"[{'name': 'Robert Downey Jr.', 'order': 0}, {'name': 'Gwyneth Paltrow', 'order': 1}, {'name': 'Don Cheadle', 'order': 2}, {'name': 'Scarlett Johansson', 'order': 3}, {'name': 'Mickey Rourke', 'order': 4}]","[{'name': 'Jon Favreau', 'job': 'Director'}]"
58595,"[{'name': 'Kristen Stewart', 'order': 0}, {'name': 'Charlize Theron', 'order': 1}, {'name': 'Chris Hemsworth', 'order': 2}, {'name': 'Sam Claflin', 'order': 3}, {'name': 'Ian McShane', 'order': 4}]","[{'name': 'Rupert Sanders', 'job': 'Director'}]"
102651,"[{'name': 'Angelina Jolie', 'order': 0}, {'name': 'Elle Fanning', 'order': 1}, {'name': 'Sharlto Copley', 'order': 2}, {'name': 'Sam Riley', 'order': 3}, {'name': 'Juno Temple', 'order': 4}]","[{'name': 'Robert Stromberg', 'job': 'Director'}]"
119450,"[{'name': 'Andy Serkis', 'order': 0}, {'name': 'Jason Clarke', 'order': 1}, {'name': 'Gary Oldman', 'order': 2}, {'name': 'Keri Russell', 'order': 3}, {'name': 'Toby Kebbell', 'order': 4}]","[{'name': 'Matt Reeves', 'job': 'Director'}]"
79698,"[{'name': 'Josh Hartnett', 'order': 0}, {'name': 'Simone Kessell', 'order': 1}, {'name': 'Tamsin Egerton', 'order': 2}, {'name': 'Alice Englert', 'order': 3}, {'name': 'Bipasha Basu', 'order': 4}]","[{'name': 'Roland Joffé', 'job': 'Director'}]"
64686,"[{'name': 'Keanu Reeves', 'order': 0}, {'name': 'Hiroyuki Sanada', 'order': 1}, {'name': 'Kou Shibasaki', 'order': 2}, {'name': 'Tadanobu Asano', 'order': 3}, {'name': 'Min Tanaka', 'order': 4}]","[{'name': 'Carl Rinsch', 'job': 'Director'}]"
100402,"[{'name': 'Chris Evans', 'order': 0}, {'name': 'Samuel L. Jackson', 'order': 1}, {'name': 'Scarlett Johansson', 'order': 2}, {'name': 'Robert Redford', 'order': 3}, {'name': 'Sebastian Stan', 'order': 4}]","[{'name': 'Anthony Russo', 'job': 'Director'}, {'name': 'Joe Russo', 'job': 'Director'}]"
10192,"[{'name': 'Mike Myers', 'order': 0}, {'name': 'Eddie Murphy', 'order': 1}, {'name': 'Cameron Diaz', 'order': 2}, {'name': 'Antonio Banderas', 'order': 3}, {'name': 'Julie Andrews', 'order': 4}]","[{'name': 'Mike Mitchell', 'job': 'Director'}]"
158852,"[{'name': 'Britt Robertson', 'order': 0}, {'name': 'George Clooney', 'order': 1}, {'name': 'Raffey Cassidy', 'order': 2}, {'name': 'Thomas Robinson', 'order': 3}, {'name': 'Hugh Laurie', 'order': 4}]","[{'name': 'Brad Bird', 'job': 'Director'}]"
177572,"[{'name': 'Scott Adsit', 'order': 0}, {'name': 'Ryan Potter', 'order': 1}, {'name': 'Daniel Henney', 'order': 2}, {'name': 'T.J. Miller', 'order': 3}, {'name': 'Jamie Chung', 'order': 4}]","[{'name': 'Chris Williams', 'job': 'Director'}, {'name': 'Don Hall', 'job': 'Director'}]"
82690,"[{'name': 'John C. Reilly', 'order': 0}, {'name': 'Sarah Silverman', 'order': 1}, {'name': 'Jack McBrayer', 'order': 2}, {'name': 'Jane Lynch', 'order': 3}, {'name': 'Alan Tudyk', 'order': 4}]","[{'name': 'Rich Moore', 'job': 'Director'}]"
5255,"[{'name': 'Tom Hanks', 'order': 0}, {'name': 'Michael Jeter', 'order': 1}, {'name': 'Nona Gaye', 'order': 2}, {'name': 'Peter Scolari', 'order': 3}, {'name': 'Eddie Deezen', 'order': 4}]","[{'name': 'Robert Zemeckis', 'job': 'Director'}]"
47933,"[{'name': 'Liam Hemsworth', 'order': 0}, {'name': 'Jeff Goldblum', 'order': 1}, {'name': 'Bill Pullman', 'order': 2}, {'name': 'Maika Monroe', 'order': 3}, {'name': 'Sela Ward', 'order': 4}]","[{'name': 'Roland Emmerich', 'job': 'Director'}]"
10191,"[{'name': 'Jay Baruchel', 'order': 0}, {'name': 'Gerard Butler', 'order': 1}, {'name': 'Craig Ferguson', 'order': 2}, {'name': 'America Ferrera', 'order': 3}, {'name': 'Jonah Hill', 'order': 4}]","[{'name': 'Chris Sanders', 'job': 'Director'}, {'name': 'Dean DeBlois', 'job': 'Director'}]"
